WikiArticle	Language	Programming	Computer	Software	Hardware	Data	Player	Online	System	Development	Machine	Console	Developer	Design	History	Technology	Standard	Information	Article	Example	Game	Programming	Action	Company	Latest	Version	Released	Character	Main	Line	Code	Series
Downloadable_content	0	0	0	2	15	1	0	0	8	0	0	0	4	1	0	3	0	1	1	2	5	37	0	1	0	4	5	0	3	2	1	1
Early_history_of_video_games	0	0	8	72	2	4	2	4	2	8	8	6	6	1	5	38	8	0	3	2	1	143	1	3	0	8	4	0	1	0	3	6
Easter_egg_(media)	0	0	1	12	15	5	0	2	0	7	4	0	1	1	3	4	1	0	5	2	1	23	1	0	0	4	0	2	2	1	4	4
EDSAC	0	0	2	16	2	1	0	0	0	1	1	4	0	0	1	4	1	0	1	3	1	1	0	0	0	1	0	0	2	1	1	0
Educational_game	0	1	1	3	2	0	0	3	3	1	3	0	0	0	1	2	8	0	3	6	0	41	3	0	0	1	0	5	3	0	0	0
Educational_software	0	2	1	12	69	5	1	0	5	5	2	1	0	1	1	5	6	2	1	3	4	2	0	1	0	1	2	0	2	0	0	0
Educational_video_games	0	0	1	12	9	0	1	6	2	4	4	0	0	0	4	5	5	0	3	6	0	34	0	0	0	1	2	0	1	0	0	5
Electronic_component	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	2	1	5	1	0	2	0	0	2	0	0	3	0	0	0
Electronic_game	0	1	0	16	0	3	0	6	1	5	3	11	23	0	1	3	5	1	3	14	5	67	1	0	1	1	1	0	12	1	0	1
Epic_Games	0	0	0	13	10	0	0	0	2	0	5	0	0	6	2	4	5	0	2	3	0	29	0	10	0	3	12	0	2	0	5	7
Exergaming	0	0	1	5	5	2	1	1	3	10	0	3	1	0	6	4	8	3	2	2	7	42	2	0	0	1	8	1	1	0	0	0
Exploit_(online_gaming)	0	0	0	0	0	0	0	10	9	2	0	0	0	1	1	1	0	0	1	4	4	32	0	0	0	1	0	5	1	0	1	2
Facebook	0	7	2	4	18	0	50	1	27	12	0	2	0	3	0	13	22	3	28	14	4	2	8	43	0	4	6	0	12	2	6	1
